meshcode,feature,featureName,property,propetyName,sourceName,authority,date,dateType,srs,mapLevel,URL
,bldg:Building,,gml:name,,国土基本情報（2023年度）（国土地理院長承認（使用）令05企指公第67号）,国土地理院,2023,002,"JGD2000/（B,L）",2500;25000,https://net.jmc.or.jp/mapdata/gsi_online/dkg.html
,bldg:Building,,gml:name,,国土数値情報（駅）,国土交通省,2022,002,"JGD2011 / （B, L）",25000,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N02-v3_1.html
,bldg:Building,,gen:stringAttribute.gen:value,延べ面積換算係数,建物利用現況調査（東京都）（2022年度）,東京都,2022,001,"JGD2011/9（X,Y）",,
,bldg:Building,,gen:stringAttribute.gen:value,説明注記,建物利用現況調査（東京都）（2022年度）,東京都,2022,001,"JGD2011/9（X,Y）",,
,bldg:Building,,gen:stringAttribute.gen:value,大字・町コード,建物利用現況調査（東京都）（2022年度）,東京都,2022,001,"JGD2011/9（X,Y）",,
,bldg:Building,,gen:stringAttribute.gen:value,町・丁目コード ,建物利用現況調査（東京都）（2022年度）,東京都,2022,001,"JGD2011/9（X,Y）",,
,bldg:Building,,gen:stringAttribute.gen:value,13+区市町村コード+大字・町コード+町・丁目コード,建物利用現況調査（東京都）（2022年度）,東京都,2022,001,"JGD2011/9（X,Y）",,
,bldg:Building,,gen:stringAttribute.gen:value,地区計画,都市計画決定情報GISデータ,東京都,2021,001,"JGD2011/9（X,Y）",2500,
,bldg:Building,,bldg:class,,東京都2500地形図(平成27年版)数値地形図（東京都・ミッドマップ東京）（2021年度）（撮影2018年度）,東京都;ミッドマップ東京,2021,001,"JGD2011/9（X,Y）",2500,
,bldg:Building,,bldg:usage,,建物利用現況調査（東京都）（2022年度）,東京都,2022,001,"JGD2011/9（X,Y）",2500,
,bldg:Building,,bldg:measuredHeight,,縮尺1／2500地形図（東京都・ミッドマップ東京）（2021年度）（撮影2018年度）,東京都;ミッドマップ東京,2021,001,,,
,bldg:Building,,bldg:measuredHeight,,航空レーザ測量（国土交通省）（2020年度）,国土交通省,2020,001,,,
,bldg:Building,,bldg:measuredHeight,,航空レーザ測量（東京都）（2023年度）,東京都,2023,001,"JGD2011/9（X,Y）",,
,bldg:Building,,bldg:storeysAboveGround,,建物利用現況調査（東京都）（2022年度）,東京都,2022,001,"JGD2011/9（X,Y）",2500,
,bldg:Building,,bldg:storeysBelowGround,,建物利用現況調査（東京都）（2022年度）,東京都,2022,001,"JGD2011/9（X,Y）",2500,
,bldg:Building,,bldg:lod0RoofEdge,,縮尺1／2500地形図（東京都・ミッドマップ東京）（2021年度）（撮影2018年度）,東京都;ミッドマップ東京,2021,001,,,
